id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_unconstrained_mean,population_unconstrained_sd,population_unconstrained_sum
222982,ET2023A3030397,222710,Ethiopia,Amhara,North Wollo,Mersa town,21.618348598887778,11.367020922983848,12646.73393034935
223750,ET2023A3171108,222770,Ethiopia,South West Ethiopia,Bench Sheko,Size town,15.88157341138762,8.051992474595542,12085.877366065979
223933,ET2023A3192710,222793,Ethiopia,Central Ethiopia,Kembata,Shinshincho town,13.224672327578908,5.5617632000224315,9389.517352581024
223739,ET2023A3170914,222769,Ethiopia,South West Ethiopia,Keffa,Wacha town,8.498364870681055,2.338514359414722,6407.767112493515
223301,ET2023A3040799,222728,Ethiopia,Oromia,East Shewa,Metehara town,9.379958377101204,6.065026142272297,6190.772528886795
223807,ET2023A3180617,222775,Ethiopia,South Ethiopia,Wolayita,Gesuba town,13.90923448570365,7.607461143025608,10278.924284934998
223047,ET2023A3030598,222712,Ethiopia,Amhara,North Shewa (AM),Ataye town,9.2947656700398,8.06626785456093,6655.052219748497
222964,ET2023A3030293,222709,Ethiopia,Amhara,South Gondar,Woreta town,35.196119491133835,15.658548641869936,24531.695285320282
222945,ET2023A3030198,222708,Ethiopia,Amhara,North Gondar,Debark town,20.43590326633679,8.630389885893916,13814.67060804367
222984,ET2023A3030399,222710,Ethiopia,Amhara,North Wollo,Kobo town,17.427099443392503,8.488043245371928,12320.9593064785
223334,ET2023A3040905,222730,Ethiopia,Oromia,West Hararge,Chiro town,70.96617103468442,34.38277435248706,50031.150579452515
223857,ET2023A3182302,222783,Ethiopia,South Ethiopia,Derashe,Gidole town,8.528467445520667,4.092615624057569,6080.797288656235
222887,ET2023A3010706,222701,Ethiopia,Tigray,Mekele,Qedamay Weyane Sub City,23.338371560134387,13.689774623151962,17737.162385702133
223083,ET2023A3030717,222714,Ethiopia,Amhara,West Gojam,Denbecha town,23.447785970042734,14.715856879304187,19133.39335155487
222895,ET2023A3020107,222702,Ethiopia,Afar,Awusi,Dubti town,1.8590734336437926,1.348112174916785,1507.7085546851158
223847,ET2023A3181508,222779,Ethiopia,South Ethiopia,Gofa,Bulike town,4.936389248890371,1.2625938384839455,4329.2133712768555
222981,ET2023A3030316,222710,Ethiopia,Amhara,North Wollo,Hara town,5.311808225614749,2.3069265019601395,4180.393073558807
223881,ET2023A3190116,222786,Ethiopia,Central Ethiopia,Gurage,Emdebir town,14.579797729076398,8.098815938536768,12640.684631109238
223072,ET2023A3030694,222713,Ethiopia,Amhara,East Gojam,Mota town,27.549345263161616,12.062312373667003,21460.9399600029
223104,ET2023A3030909,222716,Ethiopia,Amhara,Awi,Agew Gimija Bet town,18.936839836423733,7.587965246435336,18349.7978014946
223442,ET2023A3041700,222738,Ethiopia,Oromia,West Arsi,Dodola town,18.770874927953347,8.851531409326649,18207.748680114746
223439,ET2023A3041621,222737,Ethiopia,Oromia,Buno Bedele,Bedele town,27.932130981668124,16.5273896743982,27736.606064796448
222960,ET2023A3030215,222709,Ethiopia,Amhara,South Gondar,Nefas Mewicha town,12.400936379915223,4.484165866652568,11396.46053314209
223137,ET2023A3031127,222718,Ethiopia,Amhara,Central Gondar,Amba Giorgis town,12.900736933211425,7.794907600703465,12655.622931480408
222983,ET2023A3030398,222710,Ethiopia,Amhara,North Wollo,Lalibela town,11.586639574924764,5.802930032751556,10798.74808382988
223428,ET2023A3041519,222736,Ethiopia,Oromia,West Gujii,Kercha town,8.450771890436938,2.134151808386182,8324.010312080383
223894,ET2023A3190212,222787,Ethiopia,Central Ethiopia,Hadiya,Shone town,35.65766826465695,23.65456736308171,34017.41552448273
223110,ET2023A3030998,222716,Ethiopia,Amhara,Awi,Dangila town,31.010190064579138,19.974437211617744,33366.96450948715
223145,ET2023A3031224,222719,Ethiopia,Amhara,West Gondar,Metema Yohanes town,4.272983497029301,2.7182887805257856,4631.914110779762
223496,ET2023A3042214,222742,Ethiopia,Oromia,East Borena,Negele town,45.4980507420634,33.59066448705068,47954.94548213482
223860,ET2023A3182409,222784,Ethiopia,South Ethiopia,South Omo (Agr),Jinka town,14.408733045137845,6.455471638257099,14985.08236694336
223679,ET2023A3150114,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Police Maret,18.19234367132187,20.383092194237523,19101.960854887962
223658,ET2023A3130108,222763,Ethiopia,Harari,Harari,Aboker,11.055700192889994,4.258186172626021,13344.230132818222
223008,ET2023A3030424,222711,Ethiopia,Amhara,South Wollo,Akeseta town,4.0182172779932,1.852191984178391,4930.352600097656
223880,ET2023A3190114,222786,Ethiopia,Central Ethiopia,Gurage,Welkite town,33.78515244429966,18.320767287610217,41184.10082960129
223668,ET2023A3140109,222764,Ethiopia,Addis Ababa,Region 14,Arada,232.6377950289456,45.84910504706134,274047.3225440979
223144,ET2023A3031223,222719,Ethiopia,Amhara,West Gondar,Midre Genet,0.5417500876497148,0.2518076309110371,625.1796011477709
223045,ET2023A3030595,222712,Ethiopia,Amhara,North Shewa (AM),Shoa Robit,18.457896058934594,10.285440916387524,21817.23314166069
223900,ET2023A3191401,222788,Ethiopia,Central Ethiopia,Alaba,Kulito town,47.06268328801757,25.05909994652215,54828.026030540466
223015,ET2023A3030498,222711,Ethiopia,Amhara,South Wollo,Mekane Selame,7.844703933070077,6.6306098453620015,9013.564819097519
223674,ET2023A3150109,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Addis Ketema (DD),60.971940621528915,18.605972479318048,79873.24221420288
222860,ET2023A3010410,222698,Ethiopia,Tigray,South Tigray,Korem town,24.789278943768704,19.56374395800731,33143.265947818756
223656,ET2023A3130106,222763,Ethiopia,Harari,Harari,Dire Teyara,8.316770345261954,2.788569563228882,11136.155492305756
223147,ET2023A3031292,222719,Ethiopia,Amhara,West Gondar,Gendawuha town,11.201856011225853,10.27952110808327,15424.955727458
223086,ET2023A3030798,222714,Ethiopia,Amhara,West Gojam,Bure town,21.08645318886575,13.13973514684034,31060.34554719925
223657,ET2023A3130107,222763,Ethiopia,Harari,Harari,Amir Nur,3.7118932633740562,2.1248611124208785,5196.650568723679
222980,ET2023A3030315,222710,Ethiopia,Amhara,North Wollo,Filakit town,4.14174509269541,1.6128388149061292,5694.899502456188
223678,ET2023A3150113,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Kazira,25.011336140588824,23.218790968865864,38117.27627825737
223276,ET2023A3040613,222727,Ethiopia,Oromia,North Shewa (OR),Fiche town,23.066125562712884,15.668485789740476,36144.61875677109
222861,ET2023A3010411,222698,Ethiopia,Tigray,South Tigray,Alamata town,38.59278725981712,36.299195181576216,58661.03663492203
223931,ET2023A3192708,222793,Ethiopia,Central Ethiopia,Kembata,Durame town,78.27900061258744,52.19476540080232,126342.30698871613
223724,ET2023A3170804,222768,Ethiopia,South West Ethiopia,Sheka,Tepi,25.22169106998301,17.960205856232104,40506.035858392715
223813,ET2023A3180623,222775,Ethiopia,South Ethiopia,Wolayita,Bale Awassa town,5.382068020895303,3.2380017604332054,8934.232914686203
223703,ET2023A3160020,222767,Ethiopia,Sidama,Sidama,Yirgalem town,39.259308002043866,19.1858681355026,63325.26380729675
223736,ET2023A3170911,222769,Ethiopia,South West Ethiopia,Keffa,Bonga town,18.554722642038058,10.722100345535194,29817.439285755157
223805,ET2023A3180615,222775,Ethiopia,South Ethiopia,Wolayita,Boditi town,25.154374831063407,16.486101787764547,40498.543478012085
223784,ET2023A3180507,222774,Ethiopia,South Ethiopia,Gedeo,Dila town,53.58909675446966,30.40417240453046,89922.50435400009
223067,ET2023A3030620,222713,Ethiopia,Amhara,East Gojam,Merto Lemariyam town,13.863179509832431,8.50255638982989,22985.15162730217
223647,ET2023A3120206,222760,Ethiopia,Gambela,Agniwak,Gambela town,40.65985942827501,25.598588629777076,72659.16879832745
223664,ET2023A3140105,222764,Ethiopia,Addis Ababa,Region 14,Lideta,159.9630586369761,62.98871210761295,284254.3551979065
222873,ET2023A3010509,222699,Ethiopia,Tigray,West Tigray,May Gaba,1.4942389986131752,1.3541911482236633,2658.251178532839
222802,ET2023A3010108,222695,Ethiopia,Tigray,Northwest Tigray,Shire Endaslasie town,40.47095369473565,43.72185499757424,71269.34945642948
223665,ET2023A3140106,222764,Ethiopia,Addis Ababa,Region 14,Kirkos,159.73705624579839,25.699527278097893,279380.11137390137
223934,ET2023A3192712,222793,Ethiopia,Central Ethiopia,Kembata,Hadero town,13.270077900908818,6.034941405703757,22718.373366355896
223625,ET2023A3060309,222756,Ethiopia,Benishangul Gumuz,Asosa,Assosa town,16.0261627779332,11.610805624979262,27741.28776860237
223804,ET2023A3180614,222775,Ethiopia,South Ethiopia,Wolayita,Areka town,20.40424013577552,9.469686433428505,35401.356635570526
223771,ET2023A3171809,222772,Ethiopia,South West Ethiopia,West Omo,Jemu town,1.6734542531707275,0.927102590547009,3177.8896267712116
223920,ET2023A3192515,222791,Ethiopia,Central Ethiopia,East Gurage,Butajira town,25.163048383324902,16.954049739125775,48011.09631538391
222885,ET2023A3010704,222701,Ethiopia,Tigray,Mekele,Hawelti Sub City,9.003563814972173,7.777026109484778,17088.764120817184
223420,ET2023A3041499,222735,Ethiopia,Oromia,Gujii,Shakiso town,11.853424733990868,6.9640394063365445,21751.034386873245
222859,ET2023A3010409,222698,Ethiopia,Tigray,South Tigray,Maichew town,22.255901297920733,19.316365410917207,42998.401307582855
222880,ET2023A3010607,222700,Ethiopia,Tigray,Southeast Tigray,Adigudom,4.803599418285521,6.028343167738488,9314.179272055626
223393,ET2023A3041296,222733,Ethiopia,Oromia,Borena,Yabelo town,3.4060120060127934,1.6611935582183277,6399.8965592980385
223846,ET2023A3181507,222779,Ethiopia,South Ethiopia,Gofa,Sawla town,16.283462615941115,13.192180024730707,32045.85442817211
