index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,3,3981
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,5,143
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,11,23458
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,12,408
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,13,458
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,255,75278371
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,1,3833
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,2,8300
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,3,34124
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,5,364
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,11,33533
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,12,1339
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,13,2081
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,21,782
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,22,40
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,23,364
815.0,223611.0,ET2023A3060202,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Guba,255,79447268
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,1,27916
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,2,4653
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,3,250
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,11,23902
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,12,1684
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,13,558
792.0,223588.0,ET2023A3050807,222751.0,Ethiopia,Somali,Afder,Barey,255,41381616
724.0,223520.0,ET2023A3050199,222744.0,Ethiopia,Somali,Sitti,Gablalu,1,7149
