index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
790.0,223586.0,ET2023A3050805,222751.0,Ethiopia,Somali,Afder,West Imi,1,36582
,,,,,,,,2,5330
,,,,,,,,3,450
,,,,,,,,5,141
,,,,,,,,11,30192
,,,,,,,,12,986
,,,,,,,,13,1651
,,,,,,,,255,64522740
721.0,223517.0,ET2023A3050106,222744.0,Ethiopia,Somali,Sitti,Hadhagala,1,24390
,,,,,,,,2,236
,,,,,,,,3,35
,,,,,,,,11,17229
,,,,,,,,12,956
,,,,,,,,13,940
,,,,,,,,255,19776602
592.0,223388.0,ET2023A3041219,222733.0,Ethiopia,Oromia,Borena,Dilo,1,2786
,,,,,,,,2,4087
,,,,,,,,3,2658
,,,,,,,,11,7503
,,,,,,,,255,27318114
739.0,223535.0,ET2023A3050301,222746.0,Ethiopia,Somali,Jarar,Degehamedo,1,15484
,,,,,,,,2,1797
,,,,,,,,3,63
,,,,,,,,11,13369
,,,,,,,,12,270
,,,,,,,,13,341
,,,,,,,,255,30466560
740.0,223536.0,ET2023A3050302,222746.0,Ethiopia,Somali,Jarar,Degehabur,1,22514
,,,,,,,,2,774
,,,,,,,,3,39
,,,,,,,,5,188
,,,,,,,,11,18779
,,,,,,,,255,26408876
1070.0,223866.0,ET2023A3182505,222785.0,Ethiopia,South Ethiopia,South Omo (Pas),Bena Tsemay,1,5131
,,,,,,,,2,17080
,,,,,,,,3,51106
,,,,,,,,5,889
,,,,,,,,11,60834
,,,,,,,,255,40260876
718.0,223514.0,ET2023A3050103,222744.0,Ethiopia,Somali,Sitti,Shinile,1,19240
,,,,,,,,2,3279
,,,,,,,,3,327
,,,,,,,,5,7
,,,,,,,,11,16045
,,,,,,,,12,1041
,,,,,,,,13,239
,,,,,,,,255,19922282
763.0,223559.0,ET2023A3050586,222748.0,Ethiopia,Somali,Korahe,Marsin,1,8453
,,,,,,,,2,2472
,,,,,,,,3,81
,,,,,,,,11,7849
,,,,,,,,12,220
,,,,,,,,13,551
,,,,,,,,255,27368770
751.0,223547.0,ET2023A3050402,222747.0,Ethiopia,Somali,Erer,Fik,1,30593
,,,,,,,,2,4277
,,,,,,,,3,299
,,,,,,,,5,349
,,,,,,,,11,21814
,,,,,,,,12,3785
,,,,,,,,13,1526
,,,,,,,,255,23638761
798.0,223594.0,ET2023A3050902,222752.0,Ethiopia,Somali,Liben,Dolo Odo,1,123166
,,,,,,,,2,3084
,,,,,,,,3,243
,,,,,,,,4,9
,,,,,,,,5,658
,,,,,,,,11,68487
,,,,,,,,12,11419
,,,,,,,,13,9473
,,,,,,,,21,15
,,,,,,,,255,21787382
849.0,223645.0,ET2023A3120204,222760.0,Ethiopia,Gambela,Agniwak,Jore,2,597
,,,,,,,,3,1430
,,,,,,,,11,1605
,,,,,,,,255,27912207
305.0,223101.0,ET2023A3030906,222716.0,Ethiopia,Amhara,Awi,Jawi,1,380
,,,,,,,,2,7824
,,,,,,,,3,79086
,,,,,,,,4,45
,,,,,,,,5,408
,,,,,,,,11,70796
,,,,,,,,12,1744
,,,,,,,,13,14
,,,,,,,,255,66316360
847.0,223643.0,ET2023A3120202,222760.0,Ethiopia,Gambela,Agniwak,Gambela Zuria,1,73
,,,,,,,,2,8475
,,,,,,,,3,44286
,,,,,,,,5,130
,,,,,,,,11,30986
,,,,,,,,12,4376
,,,,,,,,21,39
,,,,,,,,255,38033700
574.0,223370.0,ET2023A3041098,222731.0,Ethiopia,Oromia,East Hararge,Kumbi,1,8268
,,,,,,,,2,10087
,,,,,,,,3,725
,,,,,,,,11,15437
,,,,,,,,255,35944411
769.0,223565.0,ET2023A3050599,222748.0,Ethiopia,Somali,Korahe,Bodaley,1,1638
,,,,,,,,2,645
,,,,,,,,3,28
,,,,,,,,5,3
,,,,,,,,11,1948
,,,,,,,,255,32067362
848.0,223644.0,ET2023A3120203,222760.0,Ethiopia,Gambela,Agniwak,Gog,2,4265
,,,,,,,,3,18085
,,,,,,,,11,10175
,,,,,,,,12,3440
,,,,,,,,13,468
,,,,,,,,255,33575971
770.0,223566.0,ET2023A3050601,222749.0,Ethiopia,Somali,Shebelle,East Imi,1,23944
,,,,,,,,2,2906
,,,,,,,,3,353
,,,,,,,,4,7
,,,,,,,,5,18
,,,,,,,,11,19579
,,,,,,,,12,577
,,,,,,,,13,419
,,,,,,,,255,16223794
