id,location_name,address,longitude,latitude,status
129,Cooperative Bank of Oromia Finfine Branch,https://goo.gl/maps/F6K5JfyyQKZZXwqP8,9.008,38.765,0
130,Commercial Bank of Ethiopia - Jemo Branch,https://goo.gl/maps/haoKG6ceswrWFQ8GA,8.961,38.715,0
131,Commercial Bank Of Ethiopia - Bole Medhanialem Branch,https://goo.gl/maps/tbTJqQkpXpZDdQEP8,8.997,38.787,0
132,Hibret Bank Beklo Bet Branch ,https://goo.gl/maps/QhM6UnmfAreudcX7A,8.993,38.759,0
133,Nib Intenational Bank Gotera Branch,https://goo.gl/maps/Rxd3sYijD4dXSxT16,8.983,38.765,0
134, Oromiya Bank - Genet hotel branch | ኦሮምያ ባንክ - ገነት ሆቴል ቅርንጫፍ ,https://goo.gl/maps/MJK6DuzjdqadUEEM8,9.003,38.747,0
135,Nib Intenational Bank Bole Medahinialem Branch,https://goo.gl/maps/C56dDFwe4qatjGxj6,9.034,38.761,0
136,Nib Intenational Bank Arat Killo Premium Branch,https://goo.gl/maps/C56dDFwe4qatjGxj6,9.034,38.761,0
137,Oromia Bank Africa godana branch | ኦሮሚያ ባንክ አፍሪካ ጐዳና ቅርንጫፍ,https://goo.gl/maps/Gak1ierYMicswac67,9.003,38.769,0
138,Oromia International Bank - Mesalemiya Branch ,https://goo.gl/maps/iFBLrWawc3n42z266,9.035,38.728,0
139,Awash Bank - Merkato Branch,https://goo.gl/maps/urdgwjdygnE5cfJc9,9.032,38.74,0
140,Awash Bank - Megenagna Branch,https://goo.gl/maps/W77u9QhGazh4fuK38,9.018,38.796,0
141,Awash Bank - Kotobe Branch,https://goo.gl/maps/qMVcsJavdDzMKQKZ6,9.037,38.831,0
142,Awash Bank Jackros Branch,https://goo.gl/maps/B9eTH2g59yehKHut5,9.007,38.82,0
143,Awash International Bank - Head Office | Bole Branch,https://goo.gl/maps/yecAzERn8RpRqPak7,8.992,38.782,0
144,Awash bank Head Quarter | Mexico,https://goo.gl/maps/W1mQcQ3KLo54cQPm7,9.015,38.751,0
145,Diredawa Main Revenue Authority Fayda Registration Centers,https://goo.gl/maps/Qdy4iEbtiqZkUP516,9.601,41.845,0
146,Diredawa 1 Revenue Authority Fayda Registration Centers,https://goo.gl/maps/1aiQWJDeJyuVjxYS8,11.797,41.006,0
147,Hareri Revenue  FDRE Ministry of Revenues  Fayda Registration Centers,https://goo.gl/maps/tiaKBWGB7ashme2o9,9.312,42.126,0
148,Bank of Abisiniya Arada Branch ,https://goo.gl/maps/BPFT4xC9wRYw9xZj6,9.032,38.753,0
149,Bank of Abisiniya Genet Branch / Mexico KKare Building ,https://goo.gl/maps/vxbp4rbz7V1UG6q59,9.008,38.747,0
150,Bank of Abisiniya Raguael Branch,https://goo.gl/maps/YQ7D4TzugwYwjWLP9,9.032,38.74,0
151,Bank of Abisiniya Africa Avenue Branch ,https://goo.gl/maps/q23Xwtiz4qgEZTpX8,9.002,38.77,0
152,Bank of Abisiniya Catherin Hamlin/Ayertena Branch ,https://goo.gl/maps/pCg6KvaF7npbHvCJ8,8.984,38.697,0
153,Enat Building | Piassa | እናት ህንጻ | ፒያሳ,https://goo.gl/maps/BECcnrXkCbU9r8cZA,9.03,38.754,0
154,NIB Intenational Bank Main Branch | ንብ ኢንተርናሽናል ባንክ ዋና ቅርንጫፍ,https://goo.gl/maps/rqTAdbXhivLC7HsA8,9.034,38.761,0
155,"Ministry of Revenue, Mekato no1 chilalo Branch | መርካቶ ቁ1 ጭላሎ ቅርንጫፍ",nan,9.03,38.741,0
156,"Ministry of Revenue, CMC Michael Branch | ሲኤምሲ ሚካኤል ቅርንጫፍ",nan,9.021,38.839,0
157,"Ministry of Revenue, Kirkos Branch | ቂርቆስ ቅርንጫፍ",nan,8.993,38.752,0
158,"Ministry of Revenue, Piyassa Branch | ፒያሳ ቅርንጫፍ",nan,9.032,38.753,0
159,"Ministry of Revenue, Kality total solomon building branch | ቃሊቲ ቶታል ሰለሞን ህንፃ ቅርንጫፍ",nan,8.894,38.773,0
160,"Ministry of Revenue, Ehel Berenda Branch | እህል በረንዳ ቅርንጫፍ ",nan,9.033,38.724,0
161,"Ministry of Revenue, Enkulale Fabrika Branch | እንቁላል ፋብሪካ ቅርንጫፍ ",nan,9.048,38.74,0
162,"Ministry of Revenue, Legehar Branch | ለገሀር ቅርንጫፍ ",nan,9.012,38.751,0
163,"Ministry of Revenue, Germen Round about Branch | ጀርመን አደባባይ ቅርንጫፍ ",nan,8.964,38.729,0
164,"Ministry of Revenue, Imperial Branch | ኢምፔሪያል ቅርንጫፍ ",nan,9.004,38.805,0
165,"Ministry of Revenue, Tor Hayeloch Branch | ጦር ኃይሎች ቅርንጫፍ ",nan,9.007,38.718,0
166,"Ministry of Revenue, Lem Hotel Branch / ለም ሆቴል ቅርንጫፍ ",nan,9.018,38.797,0
167,"Ministry of Revenue, Near Addis Ketema",nan,9.029,38.732,0
168,"Ministry of Revenue, Merkato 2 7ኛ Dere building ",nan,9.028,38.733,0
