admin_0,admin_1,admin_2,admin_3,night_time_mean,night_time_sd,night_time_sum
Ethiopia,Gambela,Nuer,Lare,2.496110087427675e+38,1.5044123143678837e+38,2.4295138702951045e+43
Ethiopia,Oromia,West Hararge,Mesela,2.672010681971316e+38,1.3974045822435733e+38,1.5677488274330302e+43
Ethiopia,Tigray,Central Tigray,Adwa,2.718473257692819e+38,1.3639603151217338e+38,1.5639376651506786e+43
Ethiopia,Oromia,West Shewa,Dano,3.276282224344605e+38,6.438826150350549e+37,2.2474968430781554e+43
Ethiopia,Amhara,North Shewa (AM),Gishe Rabel,3.3882634116176504e+38,2.2211101017360064e+37,1.6629257997878267e+43
Ethiopia,Amhara,North Shewa (AM),Moretna Jiru,3.3425270051972372e+38,4.489349060152141e+37,2.563551086636021e+43
Ethiopia,South Ethiopia,Gamo,Gerese,2.94058844368434e+38,1.1658657581473857e+38,3.579872371341315e+43
Ethiopia,Oromia,East Shewa,Gimbichu,3.1237067363076796e+38,9.337445100023879e+37,3.7724381513040586e+43
Ethiopia,Somali,Erer,Meyumuluka,3.3628721171098218e+38,3.665396002062841e+37,6.035077558807629e+43
Ethiopia,Oromia,East Wellega,Bila Seyo,3.0014413165400587e+38,1.0975996393344642e+38,3.925224924944758e+43
Ethiopia,Tigray,Northwest Tigray,Adi Daero,3.327249449863709e+38,5.014514980488302e+37,2.2726777367294065e+43
Ethiopia,South Ethiopia,Gamo,Kemba,2.6894681469357187e+38,1.3851160273084607e+38,1.9832676009133378e+43
Ethiopia,Oromia,North Shewa (OR),Abichugna Gne'a,3.322262200965209e+38,5.173448047164054e+37,1.7148188576502023e+43
Ethiopia,South Ethiopia,Konso,Kolme,2.662026281682595e+38,1.4042868564061423e+38,1.5372935574088818e+43
Ethiopia,Amhara,East Gojam,Aneded,3.225486829638071e+38,7.563048236263349e+37,3.4542061007277065e+43
Ethiopia,South West Ethiopia,Keffa,Cheta,1.6703770330800526e+38,1.7011286645149797e+38,1.4166634655255233e+43
Ethiopia,Oromia,West Hararge,Chiro Zuria,3.1200280405864558e+38,9.393240432576741e+37,3.821847148035973e+43
Ethiopia,Somali,Fafan,Goljano,3.338161002244936e+38,4.646005984739868e+37,7.703073565560369e+43
Ethiopia,Oromia,Arsi,Hitosa,2.910887858963202e+38,1.196649233082376e+38,2.6097274010748694e+43
Ethiopia,South Ethiopia,Derashe,Derashe,2.7758798186232756e+38,1.3192119690317519e+38,3.1606445202826476e+43
Ethiopia,Oromia,West Shewa,Nono,3.23607251981833e+38,7.345870648459787e+37,2.832340112245795e+43
Ethiopia,Oromia,East Hararge,Fedis,2.9625649743941535e+38,1.1420570861618634e+38,1.8861169909480378e+43
Ethiopia,Oromia,East Shewa,Liben Chukala,2.283437761869501e+38,1.598764394083207e+38,1.4247281571408565e+43
Ethiopia,Benishangul Gumuz,Asosa,Homosha,1.7127887135997692e+38,1.7013736950365767e+38,1.764840362606066e+43
Ethiopia,Oromia,Ilubabor,Metu Zuria,2.745967470977361e+38,1.34302092184248e+38,4.886284356555955e+43
Ethiopia,Amhara,North Shewa (AM),Ankober,3.3031297644571278e+38,5.7384774476147e+37,1.7746064659545919e+43
Ethiopia,Tigray,Central Tigray,Keyhe tekli,3.337387407052628e+38,4.673173230086502e+37,2.2960891621781373e+43
Ethiopia,Tigray,Central Tigray,Kola Temben,3.333613854668553e+38,4.803312612095328e+37,3.2305385142822014e+43
Ethiopia,Amhara,Central Gondar,Chilga 1,3.0698244427303e+38,1.011063075293233e+38,1.900374821272192e+43
Ethiopia,Amhara,South Wollo,Kutaber,3.157935881419706e+38,8.79397118187813e+37,1.7460227488369554e+43
Ethiopia,South West Ethiopia,Keffa,Gesha,3.038683870156369e+38,1.0519054698717328e+38,4.140419480958964e+43
Ethiopia,Oromia,South West Shewa,Waliso,2.6457420401306828e+38,1.4152887186874301e+38,2.61653304800764e+43
Ethiopia,Amhara,East Gojam,Enemay,3.3462845164772425e+38,4.349659902281749e+37,4.658329212542805e+43
Ethiopia,South Ethiopia,Gofa,Zala,2.547159256795035e+38,1.4763173819223362e+38,3.00231114439174e+43
Ethiopia,Oromia,West Shewa,Dendi,3.2616124348109244e+38,6.786572452390267e+37,3.613866577770504e+43
Ethiopia,Amhara,East Gojam,Michakel,3.3242403949799213e+38,5.111056841078115e+37,5.448396764968141e+43
Ethiopia,Tigray,Northwest Tigray,Seyemti Adyabo,3.2931374924194814e+38,6.010083138021859e+37,2.102536563410142e+43
Ethiopia,Amhara,South Wollo,Were Ilu,3.359038278785773e+38,3.835050471513881e+37,4.959989512837861e+43
Ethiopia,Oromia,Buno Bedele,Borecha,3.115120415226653e+38,9.466940626132946e+37,2.390823767482304e+43
Ethiopia,Oromia,West Hararge,Habro,3.1553883186631772e+38,8.836028376759825e+37,2.9108772778499674e+43
Ethiopia,Oromia,Jimma,Tiro Afeta,2.9606705529740014e+38,1.14414558105534e+38,2.366493579697649e+43
Ethiopia,Oromia,Buno Bedele,Bedele Zuria,3.0314588697087856e+38,1.0610261544800915e+38,3.9802145521615444e+43
