id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_rw,hweatlth_rw,education_rw
222890,ET2023A3020102,222702,Ethiopia,Afar,Awusi,Elidar,0.3821448044806462,0.8874083322213427,0.7947995249581024
222891,ET2023A3020103,222702,Ethiopia,Afar,Awusi,Asayita,0.3203476082037352,0.71670288623306,0.7333206187000468
222892,ET2023A3020104,222702,Ethiopia,Afar,Awusi,Afambo,0.2859357797778976,0.895980530730381,0.8811555922483463
222893,ET2023A3020105,222702,Ethiopia,Afar,Awusi,Mile,0.2811013486813888,0.8331738233715608,0.8404168710001277
222894,ET2023A3020106,222702,Ethiopia,Afar,Awusi,Chifra,0.3115962127360495,0.9034523901562687,0.8170947058054688
222895,ET2023A3020107,222702,Ethiopia,Afar,Awusi,Dubti town,0.23232234140314603,0.2845448021045221,0.6056791349045181
222896,ET2023A3020108,222702,Ethiopia,Afar,Awusi,Kori,0.3270659697296388,0.9220413858114267,0.8875883817834046
222897,ET2023A3020109,222702,Ethiopia,Afar,Awusi,Adar,0.28176101348337945,0.8518266472135206,0.7797921054701047
222898,ET2023A3020111,222702,Ethiopia,Afar,Awusi,Asayita town,0.3091407023158417,0.394485617475842,0.6120449940735875
222899,ET2023A3020112,222702,Ethiopia,Afar,Awusi,Chifra town,0.21363930266167722,0.47157224646559115,0.6804528385173461
222900,ET2023A3020113,222702,Ethiopia,Afar,Awusi,Mile town,0.1875279821502129,0.384167444569545,0.636218472255933
222901,ET2023A3020198,222702,Ethiopia,Afar,Awusi,Samera Logiya town,0.22560867379123054,0.23722851275353116,0.6125384204114183
222902,ET2023A3020201,222703,Ethiopia,Afar,Kilbati,Erebti,0.4126173438406007,0.932045738818328,0.8992173783367109
222903,ET2023A3020202,222703,Ethiopia,Afar,Kilbati,Kunneba,0.346173289192298,0.7832626109523566,0.7832183371234588
222904,ET2023A3020203,222703,Ethiopia,Afar,Kilbati,Abaala,0.4256368256870959,0.8685393231424744,0.8378886826688523
222905,ET2023A3020204,222703,Ethiopia,Afar,Kilbati,Megale,0.3222931043090434,0.884351472318058,0.8613083557414161
222906,ET2023A3020205,222703,Ethiopia,Afar,Kilbati,Berahile,0.35538513417477163,0.8263764251728949,0.8006157639483344
222907,ET2023A3020206,222703,Ethiopia,Afar,Kilbati,Dalol,0.4412719366474301,0.8954597128640706,0.8160451198880762
222908,ET2023A3020207,222703,Ethiopia,Afar,Kilbati,Afdera,0.3291495701601527,0.9216116948734319,0.912121752064216
222909,ET2023A3020208,222703,Ethiopia,Afar,Kilbati,Bidu,0.38079183649804144,0.9544716936910722,0.8918408888685185
222910,ET2023A3020209,222703,Ethiopia,Afar,Kilbati,Abaala town,0.37805850866969903,0.6079340213542374,0.6702464769249948
222911,ET2023A3020210,222703,Ethiopia,Afar,Kilbati,Wasama,0.3212736772583848,0.6094469368086487,0.706724867498815
222912,ET2023A3020301,222704,Ethiopia,Afar,Gabi,Amibara,0.35944820820026385,0.4396975047585696,0.584154210683736
222913,ET2023A3020302,222704,Ethiopia,Afar,Gabi,Awash,0.37673624249465976,0.5738115045421397,0.646736537368694
222914,ET2023A3020303,222704,Ethiopia,Afar,Gabi,Gewane,0.3512517069404047,0.6827884051434056,0.7133579447239731
222915,ET2023A3020304,222704,Ethiopia,Afar,Gabi,Dulecha,0.44098272726137394,0.8041575086467837,0.7809857435601258
222916,ET2023A3020305,222704,Ethiopia,Afar,Gabi,Gelalu,0.37992537007366245,0.928144411903075,0.8505699674296396
222917,ET2023A3020306,222704,Ethiopia,Afar,Gabi,Arguba,0.31994625050131525,0.6888619550363314,0.7733342827699116
222918,ET2023A3020307,222704,Ethiopia,Afar,Gabi,Hanruka,0.41705571731193325,0.8449546344733694,0.8250025967709309
222919,ET2023A3020308,222704,Ethiopia,Afar,Gabi,Abida,0.4311024104208852,0.9363474243409655,0.905918772658372
222920,ET2023A3020309,222704,Ethiopia,Afar,Gabi,Borimodaytu,0.29107136852105603,0.866926916145817,0.8926366996412886
222921,ET2023A3020310,222704,Ethiopia,Afar,Gabi,Werer,0.3490232865028544,0.45793490352813193,0.6005521241507804
222922,ET2023A3020396,222704,Ethiopia,Afar,Gabi,Awash town,0.29579355525472784,0.07506398708099689,0.43393317649671026
222923,ET2023A3020401,222705,Ethiopia,Afar,Fanti,Awra (AF),0.35933944741844936,0.9686239254571748,0.8859625207845865
222924,ET2023A3020402,222705,Ethiopia,Afar,Fanti,Euwa,0.28964039178315126,0.8843657682431711,0.8584208997584398
222925,ET2023A3020403,222705,Ethiopia,Afar,Fanti,Teru,0.3062059008780282,0.9661400068949565,0.9365175066212432
222926,ET2023A3020404,222705,Ethiopia,Afar,Fanti,Yalo,0.2590028900606102,0.8173094350762593,0.8499386880528964
222927,ET2023A3020405,222705,Ethiopia,Afar,Fanti,Gulina,0.29467339709994944,0.8765983702405054,0.8630588035480741
222928,ET2023A3020406,222705,Ethiopia,Afar,Fanti,Mabay,0.3082177737495028,0.9999803978180666,0.9970312132035037
222929,ET2023A3020501,222706,Ethiopia,Afar,Khari,Telalek,0.26815029195181445,0.8659779294640643,0.8001766619700149
222930,ET2023A3020502,222706,Ethiopia,Afar,Khari,Samurobi,0.40856222120386276,0.7880923186076146,0.7836848806210288
222931,ET2023A3020503,222706,Ethiopia,Afar,Khari,Dawe,0.30124318164698993,0.8761436714148458,0.8094485752008854
222932,ET2023A3020504,222706,Ethiopia,Afar,Khari,Dalefage,0.28926106047460914,0.9466138930377559,0.9112910635142721
222933,ET2023A3020505,222706,Ethiopia,Afar,Khari,Hadelela,0.24217567227740072,0.919398319920869,0.9468203999512897
222934,ET2023A3020610,222707,Ethiopia,Afar,Mahi,Gerani,0.2741197964507097,0.9109551093209913,0.9415328859748562
222935,ET2023A3020611,222707,Ethiopia,Afar,Mahi,Kilalu,0.30235971898931335,0.9980010490135263,0.9869918571122734
222936,ET2023A3020612,222707,Ethiopia,Afar,Mahi,Sibaybi,0.3590290724163406,0.9581508741857948,0.8887625277610908
222937,ET2023A3020613,222707,Ethiopia,Afar,Mahi,Yangudi,0.3690647023258066,0.9943013445893063,0.929416064572901
222938,ET2023A3030101,222708,Ethiopia,Amhara,North Gondar,Addi Arekay,0.3112375194889303,0.7004244255491527,0.700460959145669
222939,ET2023A3030102,222708,Ethiopia,Amhara,North Gondar,Beyeda,0.25048675855995123,0.5729342878801524,0.7433715277697188
222940,ET2023A3030103,222708,Ethiopia,Amhara,North Gondar,Janamora,0.23374445519092688,0.47992620209088316,0.7611431025275571
222941,ET2023A3030104,222708,Ethiopia,Amhara,North Gondar,Debark,0.2670326274556097,0.6176172817409912,0.721480451006552
222942,ET2023A3030105,222708,Ethiopia,Amhara,North Gondar,Dabat,0.26773886764474203,0.5827871230197876,0.6883086145166494
222943,ET2023A3030106,222708,Ethiopia,Amhara,North Gondar,Dabat town,0.20749817449732796,0.10231702289227478,0.45814879973372263
222944,ET2023A3030119,222708,Ethiopia,Amhara,North Gondar,Telemt,0.3458359955911988,0.6862836213278666,0.6338366029122336
222945,ET2023A3030198,222708,Ethiopia,Amhara,North Gondar,Debark town,0.22480737002424653,0.1792389809787757,0.4077527836953784
222946,ET2023A3030201,222709,Ethiopia,Amhara,South Gondar,Ebenat,0.24583321995718607,0.5653404967894953,0.7696452589001606
222947,ET2023A3030202,222709,Ethiopia,Amhara,South Gondar,Libokemekem,0.25306201033526177,0.4217972206575955,0.705116629749654
222948,ET2023A3030203,222709,Ethiopia,Amhara,South Gondar,Fogera,0.2577700599938227,0.3939011224652674,0.7217736519703286
222949,ET2023A3030204,222709,Ethiopia,Amhara,South Gondar,Farta,0.19376163499998553,0.2734932040746018,0.7169820976242665
222950,ET2023A3030205,222709,Ethiopia,Amhara,South Gondar,Lay Gayint,0.18961847983749797,0.35683084520620556,0.720795484302721
222951,ET2023A3030206,222709,Ethiopia,Amhara,South Gondar,Tach Gayint,0.20038963844659466,0.4366897727588843,0.8094765167547193
222952,ET2023A3030207,222709,Ethiopia,Amhara,South Gondar,Semada,0.28663123178986294,0.4743598742119167,0.7390497687648057
222953,ET2023A3030208,222709,Ethiopia,Amhara,South Gondar,East Esite,0.23670861193611542,0.30829136501137244,0.7025860263660395
222954,ET2023A3030209,222709,Ethiopia,Amhara,South Gondar,Dera (AM),0.2659336911326996,0.47738455556712056,0.7623793074434531
222955,ET2023A3030210,222709,Ethiopia,Amhara,South Gondar,Debre Tabor town,0.17763108703098415,0.0793969315161076,0.5522971707949986
222956,ET2023A3030211,222709,Ethiopia,Amhara,South Gondar,Andabet/West Esite,0.2754277149400125,0.34569939418958906,0.7359160015494263
222957,ET2023A3030212,222709,Ethiopia,Amhara,South Gondar,Guna Begemider,0.17593919742974468,0.35094649073479123,0.7664144167390221
222958,ET2023A3030213,222709,Ethiopia,Amhara,South Gondar,Mena Meketewa,0.21716117693844472,0.6840572249051012,0.8928382732362274
222959,ET2023A3030214,222709,Ethiopia,Amhara,South Gondar,Sede Muja,0.27493976301473716,0.635561197568102,0.8229015684498726
222960,ET2023A3030215,222709,Ethiopia,Amhara,South Gondar,Nefas Mewicha town,0.17492451733355072,0.1299259807405276,0.5593448565191085
222961,ET2023A3030216,222709,Ethiopia,Amhara,South Gondar,Hamusit town,0.22896320949981916,0.1013735667773334,0.5782366696105253
222962,ET2023A3030217,222709,Ethiopia,Amhara,South Gondar,Wegeda town,0.24161082270506884,0.1888771393100764,0.6455142715782731
222963,ET2023A3030218,222709,Ethiopia,Amhara,South Gondar,Ebenat town,0.2170456612097581,0.18627797141554917,0.594482195331499
222964,ET2023A3030293,222709,Ethiopia,Amhara,South Gondar,Woreta town,0.26438960697507596,0.10659752921978657,0.5289539607184442
222965,ET2023A3030298,222709,Ethiopia,Amhara,South Gondar,Mekan Eyesuse,0.21214438684940767,0.1653514639892721,0.5995583805192185
222966,ET2023A3030299,222709,Ethiopia,Amhara,South Gondar,Adisezemen town,0.238396943415106,0.13351567449645282,0.5149275976398336
222967,ET2023A3030301,222710,Ethiopia,Amhara,North Wollo,Bugna,0.2021064727338743,0.6203098667596417,0.7741734876489729
222968,ET2023A3030302,222710,Ethiopia,Amhara,North Wollo,Raya Kobo,0.1893809548631064,0.6258555689271761,0.7066321385572194
222969,ET2023A3030303,222710,Ethiopia,Amhara,North Wollo,Gidan,0.1230584613553118,0.39633572307679527,0.7229565434385492
222970,ET2023A3030304,222710,Ethiopia,Amhara,North Wollo,Meket,0.1866409254607325,0.40109983974526714,0.7061209081420402
222971,ET2023A3030305,222710,Ethiopia,Amhara,North Wollo,Wadla,0.1349909254828025,0.4274131754291698,0.7388821005664644
222972,ET2023A3030307,222710,Ethiopia,Amhara,North Wollo,Guba Lafto,0.12719175935943922,0.38312131257175014,0.6714203006237566
222973,ET2023A3030308,222710,Ethiopia,Amhara,North Wollo,Habru,0.15791006887950362,0.5033131851635955,0.6171042505252325
222974,ET2023A3030309,222710,Ethiopia,Amhara,North Wollo,Woldiya town,0.11835661485666277,0.10825742410995051,0.46517918560805255
222975,ET2023A3030310,222710,Ethiopia,Amhara,North Wollo,Lasta,0.1353867452031957,0.3871606269635605,0.7032763789834089
222976,ET2023A3030311,222710,Ethiopia,Amhara,North Wollo,Dawunt,0.21257337390720427,0.4829490968364577,0.708188841521496
222977,ET2023A3030312,222710,Ethiopia,Amhara,North Wollo,Gazo,0.12718985710740932,0.3023438533363626,0.6914934593197614
222978,ET2023A3030313,222710,Ethiopia,Amhara,North Wollo,Angot,0.1362484065222941,0.3586034794537535,0.6877220597832993
222979,ET2023A3030314,222710,Ethiopia,Amhara,North Wollo,Gashena town,0.1575698606203782,0.2204267793288135,0.6028368890679152
222980,ET2023A3030315,222710,Ethiopia,Amhara,North Wollo,Filakit town,0.17928686933211596,0.209280571873862,0.5896368810244369
222981,ET2023A3030316,222710,Ethiopia,Amhara,North Wollo,Hara town,0.16448277295265698,0.29325233335936285,0.5653914179128603
222982,ET2023A3030397,222710,Ethiopia,Amhara,North Wollo,Mersa town,0.14495104027854147,0.1840377471742004,0.47130684976781007
222983,ET2023A3030398,222710,Ethiopia,Amhara,North Wollo,Lalibela town,0.1034120721067111,0.011554216027631169,0.4175219918157705
222984,ET2023A3030399,222710,Ethiopia,Amhara,North Wollo,Kobo town,0.15985843879444273,0.18029666835287766,0.522555165294278
222985,ET2023A3030401,222711,Ethiopia,Amhara,South Wollo,Argoba,0.24199087342500122,0.564251960723733,0.6033130884940594
222986,ET2023A3030402,222711,Ethiopia,Amhara,South Wollo,Tenta,0.12208491180148322,0.289144585754063,0.6748115510721446
222987,ET2023A3030403,222711,Ethiopia,Amhara,South Wollo,Kutaber,0.12049378134688016,0.3782660704598284,0.6016511040212653
222988,ET2023A3030404,222711,Ethiopia,Amhara,South Wollo,Ambasel,0.13142215969659368,0.45485143752094304,0.6438464044704926
222989,ET2023A3030405,222711,Ethiopia,Amhara,South Wollo,Thehulederie,0.13170224388426688,0.30825992619092635,0.4684147475174524
222990,ET2023A3030406,222711,Ethiopia,Amhara,South Wollo,Delanta,0.1478056758403408,0.464651118334007,0.7248604816900515
222991,ET2023A3030407,222711,Ethiopia,Amhara,South Wollo,Kalu,0.18949510909105427,0.4687428742415032,0.5172803537735583
222992,ET2023A3030408,222711,Ethiopia,Amhara,South Wollo,Albuko,0.12893900834111582,0.3173231349673366,0.7073706207705018
222993,ET2023A3030409,222711,Ethiopia,Amhara,South Wollo,Dessie Zuria,0.1016711410463446,0.28209037046853036,0.6611509988430576
222994,ET2023A3030410,222711,Ethiopia,Amhara,South Wollo,Legambo,0.1078185262944925,0.20267944861540904,0.7026428343651661
222995,ET2023A3030411,222711,Ethiopia,Amhara,South Wollo,Sayint,0.20574147651577354,0.3917410840419158,0.7450669736554932
222996,ET2023A3030412,222711,Ethiopia,Amhara,South Wollo,Borena /Debresina,0.14059967644246185,0.20439686522338252,0.7301933690103898
222997,ET2023A3030413,222711,Ethiopia,Amhara,South Wollo,Kelela,0.18396823149767141,0.4197829974810935,0.6790080313856695
222998,ET2023A3030414,222711,Ethiopia,Amhara,South Wollo,Jama,0.16239493603032554,0.34484790713668834,0.6400670443356297
222999,ET2023A3030415,222711,Ethiopia,Amhara,South Wollo,Were Ilu,0.11558049752093766,0.24651331539843532,0.6409778926692381
223000,ET2023A3030416,222711,Ethiopia,Amhara,South Wollo,Wegde,0.19207268142695455,0.37647569838872436,0.6769465846029337
223001,ET2023A3030417,222711,Ethiopia,Amhara,South Wollo,Kombolcha town,0.11918057677158363,0.06021532933537463,0.3433291264072735
223002,ET2023A3030418,222711,Ethiopia,Amhara,South Wollo,Dessie town,0.09860873611748686,0.062050298873766375,0.3016423649544681
223003,ET2023A3030419,222711,Ethiopia,Amhara,South Wollo,Mehal Sayint,0.1946913966462876,0.3357517493909871,0.7267434282669827
