id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223271,ET2023A3040607,222727,Ethiopia,Oromia,North Shewa (OR),Debre Libanos,0.19774659262025113,0.017479703925859947,67.43158808350563
223687,ET2023A3160004,222767,Ethiopia,Sidama,Sidama,Dale,0.3928930409230535,0.019780170331047054,132.40495479106903
223791,ET2023A3180601,222775,Ethiopia,South Ethiopia,Wolayita,Boloso Sore,0.37989797925247865,0.01768950099397671,129.16531294584274
223699,ET2023A3160016,222767,Ethiopia,Sidama,Sidama,Aleta Chuko,0.42004706104134404,0.03704576265037173,144.49618899822235
223817,ET2023A3181006,222776,Ethiopia,South Ethiopia,Gamo,Chencha Zuriya,0.2844552602185759,0.026041170317502766,97.85260951519012
223183,ET2023A3040197,222722,Ethiopia,Oromia,West Wellega,Leta Sibu,0.28743349618649894,0.014473200527160609,99.45198968052864
223131,ET2023A3031118,222718,Ethiopia,Amhara,Central Gondar,Gonder town,0.2205336041812569,0.02115608094280688,76.96622785925865
223102,ET2023A3030907,222716,Ethiopia,Amhara,Awi,Guagusa Shikudad,0.23002878812133756,0.025083874765710668,80.74010463058949
223685,ET2023A3160002,222767,Ethiopia,Sidama,Sidama,Hawassa Zuria,0.4330138765383458,0.022343113633832002,149.3897874057293
223416,ET2023A3041415,222735,Ethiopia,Oromia,Gujii,Ana Jila,0.42969108446799326,0.030607902485731215,151.68095281720161
223590,ET2023A3050809,222751,Ethiopia,Somali,Afder,Raso,0.5058766752481461,0.0489426477798806,176.04508298635483
223470,ET2023A3041812,222739,Ethiopia,Oromia,Kelem,Sedi Chenka,0.2688147589902986,0.020162159982792235,94.62279516458511
223935,ET2023A3192807,222794,Ethiopia,Central Ethiopia,Mareko,Mareko,0.4366276830771549,0.02676344491419736,154.56619980931282
223908,ET2023A3192005,222789,Ethiopia,Central Ethiopia,Silltie,Dalocha,0.44080279089426727,0.037540647239184766,156.92579355835915
223175,ET2023A3040113,222722,Ethiopia,Oromia,West Wellega,Gaji,0.28098212617139023,0.01556202572944611,101.15356542170048
223475,ET2023A3041905,222740,Ethiopia,Oromia,Horo Guduru,Abay Chomen,0.2844705756525604,0.0192756938949054,83.63434924185276
223174,ET2023A3040112,222722,Ethiopia,Oromia,West Wellega,Yubdo,0.2717071137304514,0.016644922962783516,99.44480362534523
223797,ET2023A3180607,222775,Ethiopia,South Ethiopia,Wolayita,Ofa,0.4350403723317188,0.026693568704064252,158.35469552874565
223348,ET2023A3041001,222731,Ethiopia,Oromia,East Hararge,Kombolcha,0.17915236769178808,0.032449610049590925,66.46552841365337
222985,ET2023A3030401,222711,Ethiopia,Amhara,South Wollo,Argoba,0.24360223395122457,0.026428116652852347,91.83804219961166
223367,ET2023A3041020,222731,Ethiopia,Oromia,East Hararge,Mekanisa Oromo,0.2502970660739546,0.037592592695316944,93.36080564558506
223325,ET2023A3040824,222729,Ethiopia,Oromia,Arsi,Inkolo Wabe,0.3148739042288479,0.024559624858950888,117.76284018158913
223275,ET2023A3040611,222727,Ethiopia,Oromia,North Shewa (OR),Bereh,0.23380408080418905,0.0226339191614441,87.67653030157089
223264,ET2023A3040597,222726,Ethiopia,Oromia,West Shewa,Liban Jawi,0.2670229625717927,0.021145320806699945,99.33254207670689
