id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,education_mean,education_sd,education_sum
223827,ET2023A3181016,222776,Ethiopia,South Ethiopia,Gamo,Gacho Baba,0.7620404467520574,0.04839503171546093,233.94641715288162
223904,ET2023A3192001,222789,Ethiopia,Central Ethiopia,Silltie,Alicho Woriro,0.5935567633812482,0.06652269669490216,183.40903988480568
223747,ET2023A3171105,222770,Ethiopia,South West Ethiopia,Bench Sheko,Semen Bench,0.5950110372517924,0.08396045811842406,189.80852088332176
223800,ET2023A3180610,222775,Ethiopia,South Ethiopia,Wolayita,Kindo Daddaye,0.506180893404212,0.10328211224743043,162.48406678275205
223715,ET2023A3160032,222767,Ethiopia,Sidama,Sidama,Bilate Zuria,0.5323041414842009,0.11487230967082437,170.3373252749443
223798,ET2023A3180608,222775,Ethiopia,South Ethiopia,Wolayita,Boloso Bombe,0.5442378872837234,0.07439920323534731,174.70036181807518
222851,ET2023A3010401,222698,Ethiopia,Tigray,South Tigray,Selewa,0.6588784590815053,0.0890493639521564,217.42989149689674
223716,ET2023A3160033,222767,Ethiopia,Sidama,Sidama,Darara,0.5625055249274513,0.14174630098075783,182.25179007649422
223923,ET2023A3192519,222791,Ethiopia,Central Ethiopia,East Gurage,Debub Sodo,0.6345180570167868,0.060997614741720683,207.4874046444893
223909,ET2023A3192006,222789,Ethiopia,Central Ethiopia,Silltie,Sankura,0.516850182927267,0.04495628182480989,171.0774105489254
222863,ET2023A3010413,222698,Ethiopia,Tigray,South Tigray,Zata,0.7598532123452478,0.056405426222843086,256.0705325603485
223859,ET2023A3182403,222784,Ethiopia,South Ethiopia,South Omo (Agr),North Ari,0.7284717307989358,0.07228541036618787,239.66719943284988
223838,ET2023A3181304,222778,Ethiopia,South Ethiopia,Konso,Kena,0.768175812296592,0.06696871129962356,252.72984224557877
223819,ET2023A3181008,222776,Ethiopia,South Ethiopia,Gamo,Dita,0.7006130475728285,0.10813597110439385,235.40598398447037
223271,ET2023A3040607,222727,Ethiopia,Oromia,North Shewa (OR),Debre Libanos,0.6692115157580446,0.0676002950777256,228.2011268734932
223687,ET2023A3160004,222767,Ethiopia,Sidama,Sidama,Dale,0.3081799510324744,0.049643187933290193,103.85664349794388
223791,ET2023A3180601,222775,Ethiopia,South Ethiopia,Wolayita,Boloso Sore,0.3501854156746584,0.046179634772131106,119.06304132938385
223699,ET2023A3160016,222767,Ethiopia,Sidama,Sidama,Aleta Chuko,0.44920860196268836,0.14590266280004802,154.5277590751648
223817,ET2023A3181006,222776,Ethiopia,South Ethiopia,Gamo,Chencha Zuriya,0.6579493192392726,0.10808065987131055,226.33456581830978
223183,ET2023A3040197,222722,Ethiopia,Oromia,West Wellega,Leta Sibu,0.45271007372120214,0.04428187297303296,156.63768550753593
223131,ET2023A3031118,222718,Ethiopia,Amhara,Central Gondar,Gonder town,0.44484801046059264,0.13281826234589217,155.25195565074682
223102,ET2023A3030907,222716,Ethiopia,Amhara,Awi,Guagusa Shikudad,0.7390543103557706,0.04220117462032132,259.4080629348755
223685,ET2023A3160002,222767,Ethiopia,Sidama,Sidama,Hawassa Zuria,0.455233234167099,0.059798115969648305,157.05546578764915
223416,ET2023A3041415,222735,Ethiopia,Oromia,Gujii,Ana Jila,0.6554278604707366,0.05880271153380606,231.36603474617004
223590,ET2023A3050809,222751,Ethiopia,Somali,Afder,Raso,0.8268254995346069,0.05592162929670372,287.7352738380432
223470,ET2023A3041812,222739,Ethiopia,Oromia,Kelem,Sedi Chenka,0.5055962122807448,0.09859658797486702,177.9698667228222
223935,ET2023A3192807,222794,Ethiopia,Central Ethiopia,Mareko,Mareko,0.6310527839903104,0.041400763794722364,223.39268553256989
223908,ET2023A3192005,222789,Ethiopia,Central Ethiopia,Silltie,Dalocha,0.4888267452629764,0.05663140689846312,174.0223213136196
223175,ET2023A3040113,222722,Ethiopia,Oromia,West Wellega,Gaji,0.40319034879406296,0.038542706537795624,145.14852556586266
223475,ET2023A3041905,222740,Ethiopia,Oromia,Horo Guduru,Abay Chomen,0.6897245955710508,0.0536879006912427,202.77903109788895
223174,ET2023A3040112,222722,Ethiopia,Oromia,West Wellega,Yubdo,0.4308839740811801,0.030252503387498863,157.70353451371193
223797,ET2023A3180607,222775,Ethiopia,South Ethiopia,Wolayita,Ofa,0.536704913518586,0.08929684628435873,195.3605885207653
223348,ET2023A3041001,222731,Ethiopia,Oromia,East Hararge,Kombolcha,0.508775559959386,0.12511297634009647,188.75573274493217
222985,ET2023A3030401,222711,Ethiopia,Amhara,South Wollo,Argoba,0.6387675152375147,0.0777887027826109,240.81535324454308
223367,ET2023A3041020,222731,Ethiopia,Oromia,East Hararge,Mekanisa Oromo,0.9459616864654398,0.019985457342515646,352.84370905160904
223325,ET2023A3040824,222729,Ethiopia,Oromia,Arsi,Inkolo Wabe,0.632516172321085,0.058914438200045945,236.56104844808578
223275,ET2023A3040611,222727,Ethiopia,Oromia,North Shewa (OR),Bereh,0.6310398431619009,0.08119091476111559,236.63994118571281
223264,ET2023A3040597,222726,Ethiopia,Oromia,West Shewa,Liban Jawi,0.712644344215752,0.07877843947552272,265.10369604825974
223901,ET2023A3191402,222788,Ethiopia,Central Ethiopia,Alaba,Wera,0.4681187169801134,0.06437118474731057,174.6082814335823
222829,ET2023A3010219,222696,Ethiopia,Tigray,Central Tigray,Emba Sieneti,0.5509059407717158,0.0676016842690614,214.30241096019745
223794,ET2023A3180604,222775,Ethiopia,South Ethiopia,Wolayita,Humbo,0.5419385619656578,0.10271966831730843,207.02053067088127
223919,ET2023A3192506,222791,Ethiopia,Central Ethiopia,East Gurage,Meskan,0.6078330163829889,0.08677726239999259,241.9175405204296
222816,ET2023A3010206,222696,Ethiopia,Tigray,Central Tigray,Tahtay Mayechew,0.5190994114282742,0.06260471914340904,206.60156574845314
223872,ET2023A3190103,222786,Ethiopia,Central Ethiopia,Gurage,Ezha,0.6495963282752455,0.038236982981249716,259.18893498182297
223882,ET2023A3190120,222786,Ethiopia,Central Ethiopia,Gurage,Enor Ener,0.6504649950651116,0.08493171496271026,255.63274306058884
223691,ET2023A3160008,222767,Ethiopia,Sidama,Sidama,Bensa,0.4569425047046006,0.06462904840937489,180.94923186302185
223905,ET2023A3192002,222789,Ethiopia,Central Ethiopia,Silltie,Silti,0.49932226200848445,0.07308123568588451,198.23093801736832
223936,ET2023A3192901,222795,Ethiopia,Central Ethiopia,Tembaro,Tembaro,0.47953562180798753,0.09510584680739993,191.33471310138702
223681,ET2023A3150206,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Jeldessa,0.8281557868317803,0.07309390043799899,334.5749378800392
223277,ET2023A3040614,222727,Ethiopia,Oromia,North Shewa (OR),Yaya Gulele,0.7317492317150135,0.07028519928324703,295.62668961286545
223193,ET2023A3040208,222723,Ethiopia,Oromia,East Wellega,Gobu Seyo,0.6938577678990482,0.05205977740595057,281.70625376701355
223172,ET2023A3040110,222722,Ethiopia,Oromia,West Wellega,Boji Chekorsa,0.44349672421445985,0.05855294090113628,180.0596700310707
222854,ET2023A3010404,222698,Ethiopia,Tigray,South Tigray,Emba Alaje,0.6225449763811551,0.06662821909574287,258.97871017456055
223477,ET2023A3041907,222740,Ethiopia,Oromia,Horo Guduru,Jimma Rare,0.683405794495461,0.05309004373860565,278.8295641541481
223279,ET2023A3040616,222727,Ethiopia,Oromia,North Shewa (OR),Mulo,0.6928209844481181,0.05105871699185016,281.285319685936
223261,ET2023A3040590,222726,Ethiopia,Oromia,West Shewa,Ejersa Lafo,0.6679227033090708,0.060981805798206334,274.5162310600281
222849,ET2023A3010317,222697,Ethiopia,Tigray,East Tigray,Geraleta,0.5780058290684622,0.0793715308419925,241.60643655061722
