,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_mean,population_sd,population_sum
176,222972,ET2023A3030307,222710,Ethiopia,Amhara,North Wollo,Guba Lafto,7.503832,3.8755999,122252.4296875
177,222973,ET2023A3030308,222710,Ethiopia,Amhara,North Wollo,Habru,12.869412,8.395996,229551.703125
178,222974,ET2023A3030309,222710,Ethiopia,Amhara,North Wollo,Woldiya town,35.49824,50.018604,96093.734375
179,222975,ET2023A3030310,222710,Ethiopia,Amhara,North Wollo,Lasta,12.08418,5.6865363,140224.828125
180,222976,ET2023A3030311,222710,Ethiopia,Amhara,North Wollo,Dawunt,12.031712,5.474907,85280.7734375
181,222977,ET2023A3030312,222710,Ethiopia,Amhara,North Wollo,Gazo,8.1615305,5.3711786,11703.634765625
182,222978,ET2023A3030313,222710,Ethiopia,Amhara,North Wollo,Angot,10.221683,5.5281878,88928.640625
183,222979,ET2023A3030314,222710,Ethiopia,Amhara,North Wollo,Gashena town,16.280079,15.345546,11656.537109375
184,222980,ET2023A3030315,222710,Ethiopia,Amhara,North Wollo,Filakit town,22.455853,14.188993,18683.26953125
185,222981,ET2023A3030316,222710,Ethiopia,Amhara,North Wollo,Hara town,29.390493,18.752495,10404.234375
186,222982,ET2023A3030397,222710,Ethiopia,Amhara,North Wollo,Mersa town,48.304718,27.393272,19418.49609375
187,222983,ET2023A3030398,222710,Ethiopia,Amhara,North Wollo,Lalibela town,50.031086,32.569923,21413.3046875
188,222984,ET2023A3030399,222710,Ethiopia,Amhara,North Wollo,Kobo town,73.71513,30.372046,44523.94140625
189,222985,ET2023A3030401,222711,Ethiopia,Amhara,South Wollo,Argoba,11.473079,7.023954,46993.73046875
190,222986,ET2023A3030402,222711,Ethiopia,Amhara,South Wollo,Tenta,8.969024,5.2135496,211050.09375
191,222987,ET2023A3030403,222711,Ethiopia,Amhara,South Wollo,Kutaber,9.208267,5.247846,114348.2578125
192,222988,ET2023A3030404,222711,Ethiopia,Amhara,South Wollo,Ambasel,10.993767,6.387574,158222.296875
193,222989,ET2023A3030405,222711,Ethiopia,Amhara,South Wollo,Thehulederie,11.016763,7.627615,130691.859375
194,222990,ET2023A3030406,222711,Ethiopia,Amhara,South Wollo,Delanta,8.938387,3.6670825,154357.0
195,222991,ET2023A3030407,222711,Ethiopia,Amhara,South Wollo,Kalu,8.649682,6.3362694,162146.9375
196,222992,ET2023A3030408,222711,Ethiopia,Amhara,South Wollo,Albuko,9.303109,2.9213564,98519.9296875
197,222993,ET2023A3030409,222711,Ethiopia,Amhara,South Wollo,Dessie Zuria,5.8620386,2.619309,110716.3203125
198,222994,ET2023A3030410,222711,Ethiopia,Amhara,South Wollo,Legambo,9.889959,5.9176884,194614.625
199,222995,ET2023A3030411,222711,Ethiopia,Amhara,South Wollo,Sayint,7.8535786,3.3322713,187229.3125
